id	filename	md5	size	state
5335783c-b381-47e2-b19a-03a5ff216743	29ec889a-6fef-40d9-9a6c-570e61c25d0b.rna_seq.augmented_star_gene_counts.tsv	3b21635dc27a33590123af4b20c40613	4196494	released
f9cddd25-ea31-4938-aea0-c1dae2937062	b7e3fbe6-1ece-4bbb-9d50-222daafe0e34.rna_seq.augmented_star_gene_counts.tsv	d60fc095603d8d1fef4fa0ae74539633	4199901	released
b6dceb3c-5fb6-418f-8f14-b89e2dc6c07e	a9972ef0-7002-463a-bc65-c59c6d50ac59.rna_seq.augmented_star_gene_counts.tsv	2a067cf761627f9c28d32a00f09ab61c	4205140	released
26fdf8ca-bbf9-4fcd-ac1f-fc1405d84ee7	b29b00ab-501a-4797-babc-6628eba5f501.rna_seq.augmented_star_gene_counts.tsv	5f70664d60055d64352335d354d14a27	4202062	released
4d168c4f-7599-49fb-b003-bf66e304b0ae	edeeefbe-8d5f-46a2-a75c-549688de51ae.rna_seq.augmented_star_gene_counts.tsv	49ab4f8342131174aea3717160346e86	4199278	released
5611d25e-02e9-4544-b7f3-f5baf39fc893	8dabfed6-1eb1-4915-8203-66093d2cf43f.rna_seq.augmented_star_gene_counts.tsv	f2396798a6b9e798f5c2c56f0fb31d3f	4200914	released
84b8ee01-a87c-4195-b803-455639d8f185	238ce745-a5f9-4f2e-a9c6-4e353d72bbeb.rna_seq.augmented_star_gene_counts.tsv	1e9a72c3f994ef6fb03e50df713dcae8	4197409	released
f670b660-4b9e-48a9-8ebf-2fa4fd866e4d	136e782c-cfa4-450a-8ed7-55a1d610c12c.rna_seq.augmented_star_gene_counts.tsv	a7a6880b0abe945cf1fffd445cd88b97	4208791	released
35ca5241-e8fa-4fb5-8776-1fa7967f6cb4	085415a5-37c0-456e-89aa-2c7c4e1230ab.rna_seq.augmented_star_gene_counts.tsv	4ac90bd05a32d2ef54a45d41a523ad3b	4207889	released
19e7d05e-edc9-4a54-9492-920421054cec	ad3dbcd4-b766-47c0-8c57-007392299aa0.rna_seq.augmented_star_gene_counts.tsv	f5901d8f607d5d0a9e95ec143d54254f	4203096	released
8a73d2b9-e7a1-4f9f-94d1-8d8f925f9c7d	5619c1e7-4b0d-4815-8538-fd64cecd50d8.rna_seq.augmented_star_gene_counts.tsv	38530e1235cebe458bdbf0bf55dcf6ba	4190780	released
6b2b7abd-6ffe-44b2-b4b5-6d8120b7a718	749da78c-968f-4682-a2fa-5c82ce35a98d.rna_seq.augmented_star_gene_counts.tsv	3280cdbd0b4e79f57351738fa52106e9	4208152	released
941d292b-674b-4a25-ae5c-443a9941c0c8	a474e5eb-bd87-4a5f-91aa-d3c350ec44d5.rna_seq.augmented_star_gene_counts.tsv	655f101eb522522c2af61696766bac54	4197499	released
36b3c6ff-83fa-4226-ba91-13c73c83f83c	9c38cc51-ac3b-4ae0-afe3-4d76f001ae8e.rna_seq.augmented_star_gene_counts.tsv	ee88f72aef5c249ce9e955a4dad038e9	4202426	released
e37b6495-bb44-4c2a-866a-a58eab496faf	7b7eb959-7d58-48bc-8da3-6e4dad9a8ac5.rna_seq.augmented_star_gene_counts.tsv	9e424bdf076f4e73d5f3863a8a42109b	4202025	released
0feb0960-4caa-418f-a778-3095aaa965d8	0f28a25e-ba92-4279-869d-b641e2f5c72b.rna_seq.augmented_star_gene_counts.tsv	5c899c7a4dcdcaa9e7b3fc46a41a41fb	4201264	released
1130a47b-ceab-4221-94ab-8eee91d9118f	e30b64b2-4646-4406-8f2a-8805544c0407.rna_seq.augmented_star_gene_counts.tsv	3962481be6475faf0c50681ef9c45c47	4214318	released
869266fd-d8fd-40ce-8d93-1ee07c1a7b4d	c18e524d-4a68-4fc2-9a21-83ee8a762aa8.rna_seq.augmented_star_gene_counts.tsv	1bd997ee092519ab42ca21bde43d8b7b	4200382	released
cfc95376-02e4-4d14-99eb-672416841b29	b2535571-da19-413f-a979-5c388399e619.rna_seq.augmented_star_gene_counts.tsv	f07c370f1c477d0339d88482805ff08d	4197652	released
caa25eac-982b-4098-b3fd-c0f657d9f046	957af4f0-2ef9-4ade-9d4b-beeadb985d0f.rna_seq.augmented_star_gene_counts.tsv	03d564031cb1be3c57d521649a1b0911	4213654	released
33bdb754-7431-4b82-8140-ec66b5058bc3	dddabbdc-a8b0-4571-820d-ed39781cebed.rna_seq.augmented_star_gene_counts.tsv	155160ee05424b06b07300229a607755	4201586	released
c75ff4f6-42d1-422a-aa41-23a2cb8ba15c	435866be-7544-48cc-954f-17748e1580c0.rna_seq.augmented_star_gene_counts.tsv	b0f20671fa3737af72a87823cc95ca63	4196260	released
500b822b-1102-4be2-9950-d9ade03474a1	5daba4f6-7fa2-4a5d-923b-66148ca7a7e8.rna_seq.augmented_star_gene_counts.tsv	ee3e02aa720baeb9c3a1ea6359eeceae	4195545	released
8dcac4b9-2f7e-4208-a940-7325275613b9	c5b72fde-2cf0-4dbc-8cde-41840080d542.rna_seq.augmented_star_gene_counts.tsv	b4eaeeb120e7e4367e39604e42e26eda	4197807	released
f4dda08d-b8e2-405d-af0d-685bfc7d134d	64e4c231-1793-44a8-8e80-b050658b42d6.rna_seq.augmented_star_gene_counts.tsv	94ddf2e99f7ee277ea020de190a47bff	4222241	released
40d867ea-3f9b-4c44-8fae-d8bacc7aa06b	f3f750a9-5492-4d70-927a-0b091fea2f69.rna_seq.augmented_star_gene_counts.tsv	732963369cc0487d5c5cf4d6022d9b68	4194712	released
00997ac4-8cc4-4c90-a2ab-d4a36068faf0	4dc10240-c4ca-4b92-866b-af1542575fc8.rna_seq.augmented_star_gene_counts.tsv	81df773bb8138074fc23d7b738c20741	4203933	released
1bd6c83b-8862-4ebd-b9f6-b77da318c3ae	3692f9df-5b70-4cfb-a504-ed2cb4164ac3.rna_seq.augmented_star_gene_counts.tsv	424d4d6835a190fbd42c9ac40675d830	4199783	released
342704d4-8c63-4d8c-998d-42d0b7ac226c	5f173a3c-89f0-41c9-bbd8-5256a0489d4e.rna_seq.augmented_star_gene_counts.tsv	76f9546b22d07aff2211bdeb152bc070	4201376	released
c688eec0-521a-452c-935c-c6a25137b9bb	ea6ae785-68fc-435e-8c7b-c09682c018d3.rna_seq.augmented_star_gene_counts.tsv	03a435d14768ce04b038abe81a71ac37	4205056	released
c36845ad-fabb-45a8-a685-ef4e458008e7	49379b08-1e67-4666-88d6-2791428b9d62.rna_seq.augmented_star_gene_counts.tsv	9f8fdbaf7e2f1ef065881d19051337c5	4201157	released
1f24be7a-d89b-4d68-8f77-b9f5a97f7653	1783266a-bcae-4f80-856c-dafc23b65006.rna_seq.augmented_star_gene_counts.tsv	d5c0dc499e6c6953e136908e891e6f76	4196982	released
8b0250e2-2e7a-4a05-a9bf-2f4f2c1cfbcd	17c51f0c-6347-4fb4-ae8c-e7933b605b7e.rna_seq.augmented_star_gene_counts.tsv	f7dc08383e9802fbf614a4c1a54133e2	4217349	released
0a060993-3071-493a-aafc-c5566952c306	89b5ed3c-3a44-4e0b-8258-02290c6c5abe.rna_seq.augmented_star_gene_counts.tsv	e88296afee9b10213cbbb2f58b1de5b9	4195332	released
05b2916c-33f2-4434-8caf-31ec72deba8b	fcdc30f9-f2d0-4fe9-93f7-fe3ca91e826c.rna_seq.augmented_star_gene_counts.tsv	58582ec0cf9e5db0459410ebab08a635	4189025	released
