Case ID,File ID,File Name
22BR005,5335783c-b381-47e2-b19a-03a5ff216743,29ec889a-6fef-40d9-9a6c-570e61c25d0b.rna_seq.augmented_star_gene_counts.tsv
05BR001,f9cddd25-ea31-4938-aea0-c1dae2937062,b7e3fbe6-1ece-4bbb-9d50-222daafe0e34.rna_seq.augmented_star_gene_counts.tsv
18BR002,b6dceb3c-5fb6-418f-8f14-b89e2dc6c07e,a9972ef0-7002-463a-bc65-c59c6d50ac59.rna_seq.augmented_star_gene_counts.tsv
11BR018,26fdf8ca-bbf9-4fcd-ac1f-fc1405d84ee7,b29b00ab-501a-4797-babc-6628eba5f501.rna_seq.augmented_star_gene_counts.tsv
11BR022,4d168c4f-7599-49fb-b003-bf66e304b0ae,edeeefbe-8d5f-46a2-a75c-549688de51ae.rna_seq.augmented_star_gene_counts.tsv
09BR004,5611d25e-02e9-4544-b7f3-f5baf39fc893,8dabfed6-1eb1-4915-8203-66093d2cf43f.rna_seq.augmented_star_gene_counts.tsv
11BR042,84b8ee01-a87c-4195-b803-455639d8f185,238ce745-a5f9-4f2e-a9c6-4e353d72bbeb.rna_seq.augmented_star_gene_counts.tsv
01BR023,f670b660-4b9e-48a9-8ebf-2fa4fd866e4d,136e782c-cfa4-450a-8ed7-55a1d610c12c.rna_seq.augmented_star_gene_counts.tsv
11BR038,35ca5241-e8fa-4fb5-8776-1fa7967f6cb4,085415a5-37c0-456e-89aa-2c7c4e1230ab.rna_seq.augmented_star_gene_counts.tsv
11BR024,19e7d05e-edc9-4a54-9492-920421054cec,ad3dbcd4-b766-47c0-8c57-007392299aa0.rna_seq.augmented_star_gene_counts.tsv
20BR005,8a73d2b9-e7a1-4f9f-94d1-8d8f925f9c7d,5619c1e7-4b0d-4815-8538-fd64cecd50d8.rna_seq.augmented_star_gene_counts.tsv
01BR009,6b2b7abd-6ffe-44b2-b4b5-6d8120b7a718,749da78c-968f-4682-a2fa-5c82ce35a98d.rna_seq.augmented_star_gene_counts.tsv
05BR029,941d292b-674b-4a25-ae5c-443a9941c0c8,a474e5eb-bd87-4a5f-91aa-d3c350ec44d5.rna_seq.augmented_star_gene_counts.tsv
16BR012,36b3c6ff-83fa-4226-ba91-13c73c83f83c,9c38cc51-ac3b-4ae0-afe3-4d76f001ae8e.rna_seq.augmented_star_gene_counts.tsv
03BR005,e37b6495-bb44-4c2a-866a-a58eab496faf,7b7eb959-7d58-48bc-8da3-6e4dad9a8ac5.rna_seq.augmented_star_gene_counts.tsv
05BR026,0feb0960-4caa-418f-a778-3095aaa965d8,0f28a25e-ba92-4279-869d-b641e2f5c72b.rna_seq.augmented_star_gene_counts.tsv
11BR056,869266fd-d8fd-40ce-8d93-1ee07c1a7b4d,c18e524d-4a68-4fc2-9a21-83ee8a762aa8.rna_seq.augmented_star_gene_counts.tsv
11BR003,cfc95376-02e4-4d14-99eb-672416841b29,b2535571-da19-413f-a979-5c388399e619.rna_seq.augmented_star_gene_counts.tsv
11BR072,33bdb754-7431-4b82-8140-ec66b5058bc3,dddabbdc-a8b0-4571-820d-ed39781cebed.rna_seq.augmented_star_gene_counts.tsv
