,AC135068.3,AC135068.9,IGHV1-18,IGHV1-2,IGHV1-24,IGHV1-3,IGHV1-45,IGHV1-46,IGHV1-58,IGHV1-69,IGHV1-69-2,IGHV1-69D,IGHV1OR15-1,IGHV1OR15-9,IGHV1OR21-1,IGHV2-26,IGHV2-5,IGHV2-70,IGHV2-70D,IGHV2OR16-5,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-20,IGHV3-21,IGHV3-23,IGHV3-30,IGHV3-33,IGHV3-35,IGHV3-38,IGHV3-43,IGHV3-48,IGHV3-49,IGHV3-53,IGHV3-64,IGHV3-64D,IGHV3-66,IGHV3-7,IGHV3-72,IGHV3-73,IGHV3-74,IGHV3OR15-7,IGHV3OR16-10,IGHV3OR16-12,IGHV3OR16-13,IGHV3OR16-8,IGHV3OR16-9,IGHV4-28,IGHV4-31,IGHV4-34,IGHV4-39,IGHV4-4,IGHV4-59,IGHV4-61,IGHV4OR15-8,IGHV5-10-1,IGHV5-51,IGHV6-1,IGHV7-4-1,IGHV7-81,IGHV8-51-1,IGKV1-12,IGKV1-16,IGKV1-17,IGKV1-27,IGKV1-33,IGKV1-37,IGKV1-39,IGKV1-5,IGKV1-6,IGKV1-8,IGKV1-9,IGKV1D-12,IGKV1D-13,IGKV1D-16,IGKV1D-17,IGKV1D-33,IGKV1D-37,IGKV1D-39,IGKV1D-42,IGKV1D-43,IGKV1D-8,IGKV1OR2-108,IGKV2-24,IGKV2-28,IGKV2-30,IGKV2-40,IGKV2D-24,IGKV2D-26,IGKV2D-28,IGKV2D-29,IGKV2D-30,IGKV2D-40,IGKV3-11,IGKV3-15,IGKV3-20,IGKV3-7,IGKV3D-11,IGKV3D-15,IGKV3D-20,IGKV3D-7,IGKV3OR2-268,IGKV4-1,IGKV5-2,IGKV6-21,IGKV6D-21,IGKV6D-41,IGLV1-36,IGLV1-40,IGLV1-44,IGLV1-47,IGLV1-50,IGLV1-51,IGLV10-54,IGLV11-55,IGLV2-11,IGLV2-14,IGLV2-18,IGLV2-23,IGLV2-33,IGLV2-8,IGLV3-1,IGLV3-10,IGLV3-12,IGLV3-16,IGLV3-19,IGLV3-21,IGLV3-22,IGLV3-25,IGLV3-27,IGLV3-32,IGLV3-9,IGLV4-3,IGLV4-60,IGLV4-69,IGLV5-37,IGLV5-45,IGLV5-48,IGLV5-52,IGLV6-57,IGLV7-43,IGLV7-46,IGLV8-61,IGLV9-49,TRAC,TRAJ1,TRAJ10,TRAJ11,TRAJ12,TRAJ13,TRAJ14,TRAJ16,TRAJ17,TRAJ18,TRAJ19,TRAJ2,TRAJ20,TRAJ21,TRAJ22,TRAJ23,TRAJ24,TRAJ25,TRAJ26,TRAJ27,TRAJ28,TRAJ29,TRAJ3,TRAJ30,TRAJ31,TRAJ32,TRAJ33,TRAJ34,TRAJ35,TRAJ36,TRAJ37,TRAJ38,TRAJ39,TRAJ4,TRAJ40,TRAJ41,TRAJ42,TRAJ43,TRAJ44,TRAJ45,TRAJ46,TRAJ47,TRAJ48,TRAJ49,TRAJ5,TRAJ50,TRAJ52,TRAJ53,TRAJ54,TRAJ56,TRAJ57,TRAJ58,TRAJ59,TRAJ6,TRAJ61,TRAJ7,TRAJ9,TRAV1-1,TRAV1-2,TRAV10,TRAV12-1,TRAV12-2,TRAV12-3,TRAV13-1,TRAV13-2,TRAV14DV4,TRAV16,TRAV17,TRAV18,TRAV19,TRAV2,TRAV20,TRAV21,TRAV22,TRAV23DV6,TRAV24,TRAV25,TRAV26-1,TRAV26-2,TRAV27,TRAV29DV5,TRAV3,TRAV30,TRAV34,TRAV36DV7,TRAV38-1,TRAV38-2DV8,TRAV39,TRAV4,TRAV40,TRAV41,TRAV5,TRAV6,TRAV7,TRAV8-1,TRAV8-2,TRAV8-3,TRAV8-4,TRAV8-6,TRAV8-7,TRAV9-1,TRAV9-2,TRBC1,TRBC2,TRBD1,TRBJ1-1,TRBJ1-2,TRBJ1-3,TRBJ1-4,TRBJ1-5,TRBJ1-6,TRBJ2-1,TRBJ2-2,TRBJ2-2P,TRBJ2-3,TRBJ2-4,TRBJ2-5,TRBJ2-6,TRBJ2-7,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV17,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV20OR9-2,TRBV23-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV30,TRBV4-1,TRBV4-2,TRBV5-1,TRBV5-3,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV7-1,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-9,TRBV9,TRDC,TRDD1,TRDD2,TRDD3,TRDJ1,TRDJ2,TRDJ3,TRDJ4,TRDV1,TRDV2,TRDV3,TRGC1,TRGC2,TRGJ1,TRGJ2,TRGJP,TRGJP1,TRGJP2,TRGV1,TRGV10,TRGV11,TRGV2,TRGV3,TRGV4,TRGV5,TRGV8,TRGV9
20BR005,0,0,287,257,259,148,8,118,15,95,213,192,0,1,1,14,255,30,45,0,145,7,178,0,174,332,722,97,124,0,1,92,175,103,30,47,1,41,349,47,39,94,4,1,0,4,1,0,11,35,79,1861,47,118,72,0,2,255,205,1,0,0,65,202,164,264,72,0,77,1785,167,15,424,24,2057,66,72,45,0,103,1,1,44,4,131,9,113,0,66,0,23,74,4,12,1062,503,1450,0,30,40,483,0,3,1745,37,38,74,3,28,220,726,887,0,5,29,0,342,695,1,142,0,75,586,124,0,8,154,142,0,242,39,1,18,1,11,87,48,39,2,1,198,66,60,241,35,351,0,2,0,0,0,1,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,4,8,5,18,2,6,3,4,1,8,3,0,5,4,0,2,3,3,1,10,5,1,14,1,1,1,0,5,7,0,2,2,2,1,3,4,9,1,2,0,0,7,73,109,2,0,1,1,2,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,4,2,0,0,4,7,9,3,0,0,5,7,7,14,5,2,0,5,2,8,0,0,0,0,0,3,6,0,4,4,1,0,0,4,6,1,2,0,4,2,15,0,0,0,2,0,0,0,6,4,0,17,27,0,0,0,0,0,4,4,0,5,5,2,2,2,2
01BR009,1,0,3792,1209,492,260,5,762,13,3616,725,5490,2,6,0,142,180,7,33,0,238,9,70,0,300,3321,4245,1585,4439,1,1,467,1805,539,68,100,2,40,557,14,86,188,13,0,2,22,1,2,45,197,308,2371,0,506,238,3,1,1115,24622,590,0,0,1630,1846,160,1758,267,9,1364,29533,779,2331,115,359,490,256,345,229,26,2931,1,343,222,125,121,194,11599,54,33,2,338,66,5915,432,3260,2893,28490,3,227,436,3822,1,15,102525,12,136,85,0,86,3874,1589,543,1,6,11,0,387,1841,8,795,1,596,1943,32,3,2,477,1825,3,397,28,0,66,0,45,179,0,33,9,4,15469,73,139,669,17,463,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,4,16,2,6,1,3,1,12,0,12,1,1,10,3,1,8,1,1,3,6,5,5,0,1,1,3,1,0,7,0,0,1,1,0,5,2,16,7,10,0,0,9,380,412,12,0,1,3,2,6,5,0,0,2,1,0,0,0,3,2,2,3,0,1,4,7,0,0,0,3,2,0,2,11,13,25,1,7,0,5,4,3,13,12,7,9,4,14,0,1,2,3,0,5,5,0,8,0,0,0,1,14,1,0,1,0,16,23,10,0,0,0,1,0,1,0,4,1,0,14,39,0,0,0,0,0,3,9,0,7,5,16,5,2,11
05BR029,0,0,4,8,2,5,0,2,1,5,0,0,0,0,0,1,7,5,0,0,3,1,6,0,1,8,36,71,14,0,0,25,19,3,13,3,1,4,17,0,5,11,1,0,0,0,0,0,1,4,11,22,7,27,1,0,0,13,0,3,0,0,8,2,3,1,1,0,0,42,2,0,6,1,0,0,0,1,0,2,0,1,0,1,2,0,7,0,0,0,0,0,0,0,22,34,47,0,2,0,0,0,0,38,0,0,0,0,0,59,42,11,2,1,1,0,5,121,0,9,0,2,24,2,2,0,21,49,0,11,0,0,1,0,4,2,0,1,1,3,7,0,18,21,0,241,1,0,0,0,1,1,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,3,2,7,8,12,19,6,4,5,8,0,7,3,4,2,1,2,1,1,6,2,2,1,2,1,1,2,2,4,2,3,1,4,3,3,0,3,1,5,1,7,0,0,4,129,355,3,1,1,4,3,1,1,1,1,1,1,0,0,0,2,0,10,10,6,0,0,5,6,2,3,2,1,2,5,8,10,16,0,6,7,3,137,37,19,12,4,15,6,11,0,109,12,5,0,9,6,5,22,12,4,2,2,11,7,20,7,2,11,4,56,0,0,1,3,0,0,0,16,2,6,34,41,0,2,0,0,0,4,17,0,7,7,8,4,3,6
16BR012,0,0,140,29,34,94,1,70,3,23,0,13,0,0,0,16,79,31,1,0,58,9,102,0,13,91,351,116,116,0,0,16,85,35,22,15,23,13,158,25,19,68,1,0,0,1,0,1,11,26,35,384,126,159,35,0,33,71,48,0,0,0,48,46,124,160,3,0,5,486,38,4,91,5,1,12,0,3,0,8,0,0,1,1,51,2,37,0,3,0,1,22,3,3,262,148,426,0,7,3,419,0,3,357,4,26,0,0,8,202,102,105,2,1,10,0,79,289,7,246,0,83,219,83,1,3,113,440,0,157,1,0,13,1,10,26,0,18,0,0,107,29,36,24,17,272,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,2,0,3,2,1,15,1,1,3,3,3,3,0,1,3,4,2,1,1,3,1,2,1,4,6,2,0,0,2,1,1,0,6,0,1,2,5,0,5,2,6,5,5,0,0,5,157,219,5,0,0,0,5,1,7,3,0,2,1,0,0,0,2,0,0,3,1,0,1,1,0,0,3,1,0,0,1,5,6,4,0,0,5,1,6,7,6,2,7,3,10,5,0,2,0,4,1,2,2,0,7,2,0,0,0,8,2,1,1,4,5,7,14,0,0,0,0,0,0,0,3,1,0,16,22,0,0,0,0,0,0,4,0,3,6,4,5,3,2
03BR005,0,0,154,224,4,49,1,81,2,37,8,64,0,0,0,30,200,34,80,0,112,24,147,0,5,160,429,182,111,1,0,20,176,105,33,1,0,15,325,52,10,181,0,0,1,10,1,0,9,17,38,120,50,82,31,0,0,121,83,96,0,0,79,154,108,66,7,2,6,728,65,0,61,9,16,11,34,4,0,7,0,0,13,0,209,21,115,0,41,0,11,52,6,1,404,197,721,0,13,4,19,0,1,713,7,13,2,0,14,283,226,197,1,1,21,0,246,996,65,223,0,176,108,25,2,3,99,161,0,237,5,0,14,6,37,35,2,33,0,1,137,105,48,40,9,263,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,2,6,3,7,2,1,14,6,1,5,0,1,4,3,0,0,3,3,2,2,3,3,0,0,0,1,4,2,5,0,0,2,0,0,1,0,17,1,4,0,0,1,107,262,4,1,1,1,2,1,2,0,0,2,0,0,0,1,3,0,1,2,0,0,0,1,1,0,0,0,0,0,1,5,3,11,0,1,0,1,3,9,2,1,1,3,4,7,0,2,0,1,1,5,3,2,8,0,0,0,0,14,2,2,1,0,5,4,21,0,0,0,1,0,0,0,2,2,1,13,30,0,0,0,0,0,0,2,0,1,6,13,1,0,7
05BR026,0,0,346,276,93,131,2,118,66,4,0,338,0,0,0,26,111,67,1,0,86,74,215,0,5,197,697,463,275,0,0,3,482,98,59,2,82,6,346,36,31,188,0,0,1,8,0,0,19,59,933,6,55,125,204,0,94,173,168,1,2,0,117,81,78,139,11,0,9,1394,43,6,6496,11,109,18,13,5,0,8,8,0,33,2,79,3,104,0,4,0,2,177,1,11,389,210,768,0,14,5,100,0,1,531,4,3,2,0,22,578,200,814,0,3,34,0,389,1552,17,430,0,142,340,51,8,2,206,313,0,174,6,0,27,0,38,141,0,8,0,1,197,74,49,144,4,675,1,0,0,0,0,0,0,0,2,2,3,0,1,2,0,0,0,0,1,0,0,2,0,0,1,1,0,0,1,2,1,4,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,9,6,1,6,22,9,11,11,10,5,10,6,16,4,5,9,7,9,1,2,10,1,3,13,11,1,0,4,4,3,1,8,0,1,4,4,0,7,10,6,10,13,0,0,9,371,590,9,3,2,11,4,6,12,1,0,1,4,0,0,1,7,2,5,8,3,2,4,8,1,1,5,3,0,0,5,18,12,40,0,0,17,2,22,22,27,9,9,9,5,31,1,14,2,5,0,5,7,0,14,4,0,0,0,28,5,1,12,2,13,17,16,0,0,0,0,0,0,0,12,2,0,27,41,0,0,0,1,0,0,9,0,2,16,12,4,6,6
11BR056,4,2,3322,115,8324,7803,1,741,30,933,27,962,0,3,1,64,699,86,7,0,789,140,24297,1,89,2350,10073,1620,987,1,1,987,1861,1713,235,647,1129,130,2984,335,711,2803,13,0,0,192,3,4,51,187,1163,2767,333,4462,1512,0,3209,729,1283,1974,1,0,2479,2733,566,560,54,0,153,3142,380,89,4282,270,131,221,311,20,0,121,1,4,14,11,1964,20,1958,3,734,1,12,3935,29,17,3606,3084,5097,13,50,31,200,0,20,16679,64,13,9,0,29,3574,5740,350,2,11,375,0,4399,4073,1083,2288,1,1942,2276,6866,0,11,5313,2284,1,23287,46,0,88,0,30,2276,13,158,32,4,2289,174,284,1713,51,957,2,4,3,0,2,1,1,1,0,1,0,1,1,0,0,0,0,0,2,1,0,4,2,0,0,2,1,1,1,1,0,2,1,1,1,1,0,4,2,0,0,3,0,4,0,0,0,1,0,0,1,1,5,0,1,3,8,15,8,15,20,33,8,14,13,9,8,0,19,17,15,13,6,8,4,4,8,4,9,14,17,4,0,1,1,6,6,22,1,8,9,2,0,8,16,13,4,9,0,0,17,322,980,6,1,3,6,8,4,12,8,0,5,1,1,1,5,7,1,3,14,0,1,12,6,0,1,11,16,0,1,11,31,21,36,0,5,8,0,33,36,44,18,10,11,8,39,0,17,16,11,0,10,1,3,19,4,2,0,0,12,11,3,9,2,17,25,40,0,0,0,0,0,0,0,10,10,5,32,103,0,1,2,0,0,5,13,1,11,21,33,10,15,7
11BR003,45,2,13081,3490,2441,5236,61,1651,50,392,3,2004,0,1,1,244,4644,1047,34,0,3658,222,4919,1,261,3613,6240,2781,5011,1,1,399,2073,587,656,170,275,399,2158,368,170,3097,12,11,3,133,13,13,98,208,602,3013,2615,3664,187,2,739,2701,1119,1543,1,0,824,2583,287,2024,75,0,290,16401,446,33,433,99,205,104,595,54,4,243,7,331,24,11,307,30,1323,10,118,73,41,1274,25,617,13266,4025,18048,22,250,77,567,5,82,16772,333,736,591,0,842,9559,3558,4412,8,14,32,2,3269,14185,293,3955,5,913,11782,2268,10,73,19022,21630,1,10328,727,1,125,57,22,1885,36,1485,32,1,4254,273,442,5083,228,2206,3,2,1,2,4,1,2,3,6,1,4,2,2,2,1,0,0,1,1,3,1,9,0,2,1,0,0,3,0,4,1,3,0,1,0,3,0,5,4,2,1,1,0,1,0,3,0,1,1,1,0,0,3,0,2,3,8,24,11,41,41,25,60,53,32,20,23,5,131,22,20,23,8,13,12,10,37,7,10,52,26,5,12,15,15,28,9,68,6,17,14,15,1,29,25,49,18,25,1,0,33,843,2149,8,4,9,15,12,12,19,9,3,3,4,1,1,1,9,3,35,65,0,4,11,22,6,30,19,8,6,0,28,59,37,100,0,8,25,10,142,88,112,57,0,55,5,54,3,28,6,46,2,28,21,5,45,19,1,0,1,47,3,7,25,2,84,77,209,0,0,1,5,2,1,0,72,33,5,154,262,1,1,4,1,2,12,59,0,54,48,48,18,21,32
11BR072,0,0,181,102,54,209,0,75,4,69,19,33,0,0,0,20,104,43,6,0,139,73,358,0,4,151,590,303,141,0,0,21,149,139,31,12,63,10,434,92,56,259,0,0,0,5,0,2,7,15,79,326,71,148,32,0,52,228,101,76,0,0,91,206,174,145,6,0,18,537,53,9,118,12,3,45,0,8,0,8,0,19,4,3,255,12,206,0,6,0,8,79,6,4,461,265,1219,1,17,7,53,3,1,917,1,32,2,0,30,248,241,109,0,1,49,0,306,966,83,406,0,153,147,119,5,19,196,299,0,90,34,0,9,9,0,115,0,72,3,2,188,66,125,218,13,485,0,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,4,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,4,4,6,4,5,11,1,6,6,5,1,9,2,4,6,2,0,3,2,7,1,0,5,7,1,3,2,0,3,0,23,1,3,2,4,0,3,7,4,1,8,0,0,8,197,550,6,0,5,5,4,2,3,1,1,0,1,0,1,0,8,1,0,6,0,0,6,5,0,1,1,4,0,0,4,25,3,32,0,4,4,2,18,27,28,7,4,3,4,11,0,13,4,1,0,8,2,2,3,4,0,0,0,16,7,0,3,0,11,6,25,0,0,1,1,0,2,0,3,1,0,20,55,0,0,0,0,1,3,8,0,7,4,11,2,7,8
11BR054,0,0,5,4,2,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,2,0,1,0,116,0,25,10,3,0,1,0,1,1,1,1,0,0,4,6,3,21,0,0,0,0,0,0,0,0,2,3,0,13,2,0,6,1,1,1,12,0,8,13,3,3,0,0,1,45,0,0,6,1,4,1,0,0,0,0,0,0,0,1,5,0,3,0,0,0,1,1,0,1,20,8,33,0,4,1,1,0,1,37,0,0,0,0,1,8,41,20,1,0,2,0,21,595,2,25,0,10,8,4,0,0,5,6,0,5,0,0,1,0,0,2,0,0,1,4,7,0,30,8,0,133,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,5,3,0,1,6,1,8,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,2,4,0,1,0,0,0,0,3,3,0,3,0,0,3,39,108,3,0,0,0,3,0,3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,3,15,3,3,0,1,2,1,1,1,3,1,2,0,0,2,2,6,1,1,0,0,1,0,2,2,0,0,0,3,10,0,2,0,0,1,2,0,0,0,0,0,0,0,1,1,0,4,14,0,0,0,0,0,0,0,0,2,5,1,5,2,3
14BR005,0,0,21,0,15,38,0,12,2,10,0,11,0,0,0,6,18,3,0,0,8,3,43,0,0,9,46,41,9,0,0,10,28,41,2,7,8,2,93,7,11,40,0,0,0,1,0,0,0,0,3,67,33,409,1,1,12,45,11,15,1,0,20,10,25,11,0,0,0,77,9,0,13,4,1,3,1,0,0,1,2,3,0,0,15,2,67,0,2,0,2,9,0,14,58,17,157,1,2,0,0,0,0,82,0,1,0,0,1,19,27,17,0,1,13,0,25,95,727,49,0,38,97,17,0,1,31,54,0,12,0,0,5,0,0,56,0,4,0,0,1,8,2,7,0,199,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,3,2,3,0,2,2,2,0,3,2,0,1,1,2,2,1,0,0,3,2,2,1,0,0,0,0,1,6,0,0,2,3,0,1,1,0,2,5,0,0,4,41,129,3,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,1,8,8,0,0,1,1,7,5,2,3,0,0,0,6,0,5,0,0,0,3,0,0,5,3,0,0,0,7,3,0,0,1,4,3,5,0,0,0,1,0,0,0,0,4,0,2,3,0,0,0,0,1,0,1,0,3,4,4,7,1,3
05BR042,2,0,1093,1088,229,826,2,860,25,327,3,90,0,1,2,49,1254,125,9,0,481,112,424,1,182,1397,4517,1690,1184,1,0,32,736,728,475,90,231,126,661,32,204,519,6,0,0,114,4,1,18,389,558,1997,926,476,44,0,285,692,180,622,1,0,347,131,256,546,228,0,276,5602,161,62,301,78,8,23,14,195,1,641,0,6,25,15,124,153,147,9,35,1,366,492,68,88,2935,1142,2616,3,231,158,381,0,15,3538,21,42,14,0,100,2714,1764,489,6,12,10,0,1054,1574,15,2586,0,472,3477,824,5,5,2674,1666,0,1402,293,0,616,1,71,521,16,147,4,2,1620,262,127,454,698,581,6,1,0,3,2,0,0,6,1,0,1,3,1,0,1,1,0,3,0,0,0,4,2,0,4,3,1,0,2,1,0,0,1,0,1,1,0,0,3,0,3,0,0,4,0,1,1,0,0,0,1,0,2,0,1,0,1,5,2,19,7,16,28,6,9,3,8,3,19,2,2,5,1,6,2,2,17,5,0,8,3,3,2,2,2,10,2,10,1,2,3,4,0,0,3,16,9,14,0,0,10,402,732,7,2,7,6,13,9,17,16,2,1,4,2,1,3,11,0,0,4,2,2,7,9,2,5,8,8,1,2,16,49,20,52,5,9,8,2,28,22,23,20,8,2,22,40,3,20,2,11,2,10,13,4,38,13,1,1,4,43,16,7,8,1,25,3,112,0,0,0,8,2,2,1,6,6,0,20,39,1,0,1,0,1,4,6,0,6,7,7,6,7,8
11BR017,57,0,3459,663,2408,11066,2,538,13,1387,134,2468,6,0,10,7337,4593,595,82,2,4545,678,1194,4,28,5524,31189,30153,1324,0,0,3,23339,5936,582,3,1131,401,17584,26,1042,33009,2,0,0,339,5,6,635,2273,570,11,20401,1385,1565,14,1023,25250,197,3,3,0,5886,1477,500,3214,15,4,116,12111,11444,10,1466,272,68,11,35,14,1,81,3,6,3,5,2610,435,2348,0,15,0,317,1179,11,43,11086,13591,20000,2,87,70,60,3,28,12030,59,40,46,0,1520,15164,14845,6046,618,31,128,2,18230,48600,145,64440,0,1982,10026,151,77,3,8161,12578,9,681,119,0,20779,40,151,20866,44,175,15,2,5502,1028,4849,7678,226,773,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,2,3,2,5,9,15,13,15,7,4,2,6,0,18,11,7,10,11,4,3,7,3,3,7,8,15,1,1,3,4,12,6,14,0,5,3,3,0,6,13,12,20,6,0,0,33,423,1183,9,1,8,5,5,7,11,5,2,11,7,2,1,2,5,0,1,2,2,0,13,6,0,4,8,2,0,0,10,8,11,42,0,2,1,1,18,17,27,13,7,9,50,21,0,3,3,8,0,2,15,0,10,24,0,0,0,27,17,2,6,0,32,24,25,0,0,0,0,0,0,0,5,0,1,10,50,0,0,0,0,0,3,7,0,5,11,16,5,3,4
14BR014,0,0,628,319,133,545,14,448,41,488,98,799,0,3,1,253,825,160,124,0,171,21,641,0,42,1586,1381,1686,1093,1,1,107,160,237,690,6,583,202,1451,153,48,248,6,0,0,12,4,0,23,440,109,651,11,399,169,1,929,527,330,209,1,0,746,351,330,432,16,0,137,3628,297,28,1123,92,5,1403,1,5,0,77,2,9,20,15,669,25,844,0,26,0,15,124,37,130,2139,1187,6958,8,246,36,98,1,8,5977,31,126,16,0,9,1525,418,521,3,3,67,0,466,1522,67,1253,0,340,1060,949,1,1,1051,2246,3,617,58,0,72,0,1,219,22,73,1,2,107,146,82,142,273,193,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,5,4,3,2,1,2,2,3,1,7,2,0,1,3,2,0,2,0,1,0,4,8,0,0,1,0,2,1,3,0,0,1,1,0,1,3,2,3,1,0,0,3,145,151,2,1,0,2,8,3,4,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,2,1,9,0,0,1,2,4,1,10,2,4,5,5,2,0,0,0,3,0,4,5,0,2,1,0,0,1,19,4,0,1,0,14,1,7,0,0,0,1,0,0,0,2,1,0,28,26,0,0,0,0,0,1,3,0,7,4,0,0,2,4
11BR059,0,0,3200,777,198,327,3,2582,22,17,0,1384,1,2,2,525,498,368,0,0,379,109,583,1,48,1115,4049,1849,4317,2,0,57,345,345,199,25,2,89,2543,1206,208,383,1,0,0,18,2,2,56,232,605,4078,8,1063,165,0,1,842,304,555,3,0,263,1159,1904,700,35,0,45,1678,241,37,464,23,105,63,3,20,0,39,2,1,19,6,339,17,302,3,50,0,14,58,30,79,6051,4824,4010,1,143,41,97,2,8,4526,30,117,28,1,238,4784,1213,2568,2,2,356,0,2620,1901,122,1446,6,311,826,109,8,5,1874,2652,1,798,102,0,23,7,50,629,8,195,13,1,1604,805,11057,637,64,495,1,0,0,0,0,0,2,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,0,0,7,1,1,11,11,17,2,3,1,8,6,14,7,3,5,8,4,4,1,6,0,5,6,2,2,3,1,1,5,1,13,0,0,7,3,0,3,10,9,10,5,0,0,5,204,496,5,0,2,3,2,4,4,2,0,1,2,3,0,2,1,4,0,4,1,1,2,2,0,5,7,1,0,0,5,17,7,17,0,3,2,1,17,19,17,19,5,6,3,12,0,11,0,4,0,2,0,2,7,9,0,0,1,24,12,3,6,0,5,2,54,0,0,0,3,0,0,0,27,2,1,25,72,0,0,0,0,0,3,5,0,10,15,14,13,5,5
11BR050,3,0,215,305,86,495,11,238,16,56,86,57,1,2,0,36,531,87,8,0,326,129,670,2,618,579,1436,685,191,0,0,88,400,71,156,35,165,156,816,135,41,317,8,0,0,33,1,1,12,46,3847,1037,186,538,179,5,107,500,273,261,0,0,288,383,362,494,34,0,46,2096,277,150,623,37,240,22,77,30,0,77,4,6,14,6,426,29,337,0,31,0,23,186,6,46,1054,1269,1391,3,22,32,159,2,4,3099,12,103,16,0,89,594,694,1434,1,7,10,0,443,1757,61,9095,1,522,731,692,3,6,312,930,2,472,121,0,263,2,2,411,9,113,3,2,622,122,199,400,67,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,2,8,17,3,11,6,3,3,16,0,10,4,2,7,1,2,1,3,0,0,7,7,6,0,2,3,0,5,3,8,5,7,6,2,0,3,9,10,7,4,0,0,15,192,2059,2,0,0,2,0,1,4,6,3,9,19,3,1,0,4,3,9,2,0,0,18,1,0,2,2,11,0,0,3,13,12,26,0,2,9,0,10,23,12,6,37,4,16,15,0,5,0,2,1,8,4,0,2,5,0,0,0,34,3,2,3,0,19,12,41,0,0,0,1,0,0,2,3,1,4,70,46,0,0,0,0,0,0,22,0,3,11,16,14,9,11
